,state,city,code,mean_inc,median_inc,stdev_inc,num_incidents,total_killed,total_injured
0,Alabama,Chickasaw,AL,38773,30506,33101,1,0,0
0,Alabama,Louisville,AL,37725,19528,43789,2,0,3
0,Alabama,Columbiana,AL,54606,31930,57348,4,0,5
0,Alabama,Satsuma,AL,63919,52814,47707,0,0,0
0,Alabama,Dauphin Island,AL,77948,67225,54270,0,0,0
0,Alabama,Cullman,AL,50715,42643,35886,15,6,4
0,Alabama,East Brewton,AL,33737,23610,28256,0,0,0
0,Alabama,Coosada,AL,46319,40242,38941,1,0,1
0,Alabama,Eva,AL,57994,39591,47235,0,0,0
0,Alabama,Sylacauga,AL,54807,41712,51359,9,6,1
0,Alabama,Rainsville,AL,47929,38947,44430,1,0,1
0,Alabama,Gadsden,AL,42251,28811,41397,58,17,31
0,Alabama,Georgiana,AL,27993,19757,27656,1,0,0
0,Alabama,Rockford,AL,31229,22745,27452,1,0,0
0,Alabama,Greensboro,AL,36439,21136,45043,5,3,1
0,Alabama,Guin,AL,56934,39047,53934,0,0,0
0,Alabama,Hartford,AL,41057,21608,45280,2,0,4
0,Alabama,Helena,AL,93682,300000,55763,4,1,2
0,Alabama,Hokes Bluff,AL,57202,46738,44401,0,0,0
0,Alabama,Opp,AL,49699,34049,48287,6,1,8
0,Alabama,Attalla,AL,51926,300000,28590,3,0,1
0,Alabama,Millport,AL,44572,34725,36562,0,0,0
0,Alabama,Section,AL,56029,31635,62581,0,0,0
0,Alabama,Andalusia,AL,51098,43794,32431,9,2,1
0,Alabama,Lockhart,AL,45465,36849,45634,0,0,0
0,Alabama,Mcintosh,AL,67392,48713,54529,1,1,0
0,Alabama,Maplesville,AL,43767,30427,38304,0,0,0
0,Alabama,Fairfield,AL,48074,39817,37964,59,29,33
0,Alabama,Mobile,AL,53330,38231,50855,560,161,303
0,Alabama,Moulton,AL,42079,28180,39942,4,2,4
0,Alabama,Muscle Shoals,AL,60729,49109,48170,10,8,3
0,Alabama,Newbern,AL,32466,17389,31851,0,0,0
0,Alabama,Northport,AL,62410,54115,47114,12,1,8
0,Alabama,Opelika,AL,55199,40430,48856,64,23,29
0,Alabama,Panola,AL,22603,6190,29054,0,0,0
0,Alabama,Ozark,AL,86605,79218,52491,19,3,15
0,Alabama,Deatsville,AL,63066,57698,41175,2,2,0
0,Alabama,Prattville,AL,53597,39054,39602,32,9,12
0,Alabama,Red Bay,AL,39220,29055,33077,3,0,0
0,Alabama,Andalusia,AL,39218,25895,48015,9,2,1
0,Alabama,Cleveland,AL,55127,44609,39231,1,1,0
0,Alabama,Satsuma,AL,59567,52275,43545,0,0,0
0,Alabama,Shelby,AL,63758,45844,53244,0,0,0
0,Alabama,Smiths Station,AL,57098,45637,48651,5,3,1
0,Alabama,Phil Campbell,AL,72297,300000,21067,3,0,2
0,Alabama,Sumiton,AL,51907,39657,46146,1,0,0
0,Alabama,Tallassee,AL,55849,50493,42845,7,2,5
0,Alabama,Mobile,AL,55230,47636,45298,560,161,303
0,Alabama,Tuscaloosa,AL,55815,38843,54867,220,40,151
0,Alabama,Valley,AL,49554,39263,40901,12,2,6
0,Alabama,Vincent,AL,0,0,0,1,1,0
0,Alabama,Camp Hill,AL,71026,60438,56646,1,1,1
0,Alabama,Cullman,AL,58314,49030,50015,15,6,4
0,Alabama,Woodland,AL,48217,33446,42907,0,0,0
0,Alabama,Wadley,AL,14741,11398,10903,0,0,0
0,Alabama,Aliceville,AL,28347,20997,28311,2,1,3
0,Alabama,Odenville,AL,242857,300000,25317,3,2,0
0,Alabama,Auburn,AL,59694,38029,60946,50,19,20
0,Alabama,Bayou La Batre,AL,50047,35147,43788,1,0,0
0,Alabama,Bessemer,AL,41239,29150,38565,94,38,63
0,Alabama,Boligee,AL,32777,12379,58584,1,0,1
0,Alabama,Brilliant,AL,33353,25776,27149,0,0,0
0,Alabama,Calera,AL,65576,64695,38729,7,2,0
0,Alabama,Carrollton,AL,41709,27321,44007,1,0,1
0,Alabama,Moody,AL,45862,32942,40674,2,0,2
0,Alabama,Odenville,AL,62222,56867,43036,3,2,0
0,Alabama,Hoover,AL,90262,71401,66042,8,4,0
0,Alabama,Birmingham,AL,92018,74570,65160,976,364,626
0,Alabama,Chelsea,AL,78399,71839,54844,3,0,2
0,Alabama,Maylene,AL,85122,75896,58979,0,0,0
0,Alabama,Ohatchee,AL,66000,54091,47663,2,1,1
0,Alabama,Panola,AL,34064,28981,28466,0,0,0
0,Alabama,Talladega,AL,38882,27264,45128,22,9,8
0,Alabama,Sylacauga,AL,40948,31044,36118,9,6,1
0,Alabama,Dadeville,AL,48421,35722,44616,8,2,7
0,Alabama,Northport,AL,77977,74807,59517,12,1,8
0,Alabama,Holt,AL,37965,29413,34880,0,0,0
0,Alabama,Tuscaloosa,AL,24931,12361,34393,220,40,151
0,Alabama,Tuscaloosa,AL,60252,45803,55310,220,40,151
0,Alabama,Holt,AL,53301,40174,43882,0,0,0
0,Alabama,Nauvoo,AL,40072,29226,37412,1,0,1
0,Alabama,Lanett,AL,35951,23009,38779,5,2,11
0,Alabama,Millry,AL,48623,40342,41443,0,0,0
0,Alabama,Arley,AL,49046,36818,42393,0,0,0
0,Alabama,Prattville,AL,58180,51927,40722,32,9,12
0,Alabama,Elmore,AL,41464,35150,30951,4,3,1
0,Alabama,Marbury,AL,59061,300000,36002,0,0,0
0,Alabama,Perdido,AL,55216,43407,52450,3,1,0
0,Alabama,Bay Minette,AL,36474,24377,31702,11,3,6
0,Alabama,Daphne,AL,107603,97539,63498,8,2,4
0,Alabama,Loxley,AL,50583,41882,37860,2,2,1
0,Alabama,Robertsdale,AL,69996,300000,37937,7,4,1
0,Alabama,Clanton,AL,56638,41768,48428,13,3,9
0,Alabama,Fairhope,AL,67864,52050,64026,10,2,2
0,Alabama,Foley,AL,71445,58784,51329,14,4,2
0,Alabama,Gulf Shores,AL,65583,300000,59906,8,2,3
0,Alabama,Foley,AL,49212,300000,21308,14,4,2
0,Alabama,Pensacola,AL,57395,46769,46123,0,0,0
0,Alabama,Clayton,AL,56947,45615,47083,1,2,0
0,Alabama,Eufaula,AL,43222,26304,47072,16,4,11
0,Alabama,Brent,AL,67555,54574,61374,3,3,1
0,Alabama,Oneonta,AL,34855,32407,21562,1,0,1
0,Alabama,Cleveland,AL,56385,49459,39388,1,1,0
0,Alabama,Gilbertown,AL,53998,39956,48887,0,0,0
0,Alabama,Blountsville,AL,47717,30660,46395,6,5,5
0,Alabama,Hayden,AL,58684,47284,39926,1,0,0
0,Alabama,Union Springs,AL,30765,25206,26768,15,6,14
0,Alabama,Greenville,AL,30564,21911,23037,20,8,7
0,Alabama,Mckenzie,AL,36333,27877,29844,0,0,0
0,Alabama,Anniston,AL,27581,15743,28241,62,35,40
0,Alabama,Anniston,AL,55336,41259,45442,62,35,40
0,Alabama,Oxford,AL,54371,46871,46868,10,3,3
0,Alabama,Anniston,AL,49509,48881,28239,62,35,40
0,Alabama,Jacksonville,AL,46650,41809,29011,10,8,4
0,Alabama,Jackson,AL,40352,30601,39286,1,3,0
0,Alabama,Jacksonville,AL,33803,13029,35858,10,8,4
0,Alabama,Piedmont,AL,35282,27332,29556,6,9,1
0,Alabama,Alexandria,AL,72487,64034,45909,1,0,0
0,Alabama,Alexandria,AL,0,0,0,1,0,0
0,Alabama,Lafayette,AL,45966,300000,34017,2,1,1
0,Alabama,Lanett,AL,38000,30130,30948,5,2,11
0,Alabama,Valley,AL,44019,27057,50751,12,2,6
0,Alabama,Sand Rock,AL,57239,43170,47243,0,0,0
0,Alabama,Spring Garden,AL,51542,300000,60348,0,0,0
0,Alabama,Clanton,AL,54388,37212,48573,13,3,9
0,Alabama,Jack,AL,47550,35327,39518,0,0,0
0,Alabama,Jemison,AL,40648,33316,32761,5,2,2
0,Alabama,Verbena,AL,67265,46110,59481,0,0,0
0,Alabama,Butler,AL,55952,40705,54619,2,1,0
0,Alabama,Thomasville,AL,40451,36477,28494,0,0,0
0,Alabama,Robertsdale,AL,64173,45281,57389,7,4,1
0,Alabama,Grove Hill,AL,50714,38228,55570,1,1,1
0,Alabama,Jackson,AL,40592,23781,37971,1,3,0
0,Alabama,Ashland,AL,44628,35064,33198,1,0,1
0,Alabama,Heflin,AL,31459,25199,32837,6,2,1
0,Alabama,Jack,AL,51782,34974,43086,0,0,0
0,Alabama,Kinston,AL,46792,30746,46019,1,0,1
0,Alabama,Enterprise,AL,88951,84211,56279,27,8,16
0,Alabama,Enterprise,AL,61449,49254,51536,27,8,16
0,Alabama,Sheffield,AL,51659,42586,39138,8,2,3
0,Alabama,Tuscumbia,AL,46357,300000,26728,10,4,4
0,Alabama,Muscle Shoals,AL,72532,65185,55384,10,8,3
0,Alabama,Leighton,AL,51460,38525,36757,5,1,3
0,Alabama,Tuscumbia,AL,44527,38139,36681,10,4,4
0,Alabama,Castleberry,AL,31633,28982,24289,0,0,0
0,Alabama,Rockford,AL,33042,23325,31099,1,0,0
0,Alabama,Andalusia,AL,53559,300000,24136,9,2,1
0,Alabama,Andalusia,AL,58835,41801,49863,9,2,1
0,Alabama,Muscle Shoals,AL,61868,56246,44831,10,8,3
0,Alabama,Opp,AL,46327,31463,35525,6,1,8
0,Alabama,Opp,AL,60141,43585,50751,6,1,8
0,Alabama,Luverne,AL,40683,28886,35812,1,0,1
0,Alabama,Baileyton,AL,61900,65528,43897,1,1,0
0,Alabama,Vinemont,AL,53673,39630,49847,0,0,0
0,Alabama,Cullman,AL,63213,300000,38851,15,6,4
0,Alabama,Cullman,AL,37893,28850,37859,15,6,4
0,Alabama,Cullman,AL,44858,32959,41497,15,6,4
0,Alabama,Garden City,AL,43726,28444,38686,0,0,0
0,Alabama,Ft Rucker,AL,68310,59974,38238,0,0,0
0,Alabama,Evergreen,AL,34206,16878,39063,2,0,0
0,Alabama,Ozark,AL,65625,49674,60856,19,3,15
0,Alabama,Ozark,AL,31645,31497,20477,19,3,15
0,Alabama,Daleville,AL,58239,61815,49004,2,0,1
0,Alabama,Midland City,AL,42703,33772,31328,2,0,0
0,Alabama,Selma,AL,65458,45588,47564,132,42,104
0,Alabama,Selma,AL,23614,15982,20480,132,42,104
0,Alabama,Orrville,AL,30567,20489,27688,3,1,3
0,Alabama,Selma,AL,26582,19843,18440,132,42,104
0,Alabama,Rainsville,AL,47226,37458,34391,1,0,1
0,Alabama,Fyffe,AL,41338,40569,19063,4,1,2
0,Alabama,Andalusia,AL,42170,26135,46568,9,2,1
0,Alabama,Crossville,AL,50821,54135,34788,4,1,3
0,Alabama,Ft Payne,AL,46422,40662,30381,0,0,0
0,Alabama,Fort Payne,AL,57662,300000,30695,6,2,3
0,Alabama,Deatsville,AL,55257,50235,34870,2,2,0
0,Alabama,Eclectic,AL,51818,50579,30368,3,4,1
0,Alabama,Wetumpka,AL,81059,49903,70277,7,3,3
0,Alabama,Millbrook,AL,57221,48383,41222,17,3,7
0,Alabama,East Brewton,AL,42831,40855,32957,0,0,0
