,state,city,latest_rent,num_incidents,total_killed,total_injured
0,New York,New York,2322,17,0,11
0,California,Los Angeles,2753,1066,636,553
0,Illinois,Chicago,1632,10814,2104,10427
0,Texas,Houston,1430,2480,1144,1245
0,Pennsylvania,Philadelphia,1212,2929,890,2318
0,Arizona,Phoenix,1247,969,412,473
0,Nevada,Las Vegas,1239,1342,600,709
0,Texas,San Antonio,1250,1627,516,1027
0,California,San Diego,2469,372,116,166
0,Texas,Dallas,1391,1152,465,515
0,California,San Jose,3286,234,103,104
0,Florida,Jacksonville,1151,2317,421,1126
0,California,San Francisco,4382,421,141,272
0,Indiana,Indianapolis,1078,1919,616,1131
0,Texas,Austin,1780,530,129,196
0,Texas,Fort Worth,1375,418,223,256
0,Michigan,Detroit,750,1832,603,1025
0,Ohio,Columbus,1116,1282,415,878
0,Tennessee,Memphis,843,2384,622,1690
0,North Carolina,Charlotte,1294,1282,272,803
0,Texas,El Paso,993,220,71,87
0,Massachusetts,Boston,2524,1734,175,586
0,Washington,Seattle,2481,732,107,302
0,Maryland,Baltimore,1306,3943,1055,2427
0,Colorado,Denver,1974,690,208,319
0,District of Columbia,Washington,2569,3189,445,1411
0,Tennessee,Nashville,1535,1319,261,796
0,Wisconsin,Milwaukee,1006,2487,486,1570
0,Arizona,Tucson,1056,333,157,155
0,Oregon,Portland,1859,941,100,313
0,Oklahoma,Oklahoma City,1073,815,234,429
0,Nebraska,Omaha,1300,923,144,527
0,New Mexico,Albuquerque,1197,739,233,288
0,California,Fresno,1241,1057,166,545
0,California,Sacramento,1504,477,180,309
0,Arizona,Mesa,1280,107,58,50
0,California,Long Beach,2375,329,120,207
0,Missouri,Kansas City,1021,1152,427,747
0,Virginia,Virginia Beach,1534,289,64,185
0,Colorado,Colorado Springs,1392,763,122,294
0,Georgia,Atlanta,1486,1357,377,684
0,Florida,Miami,2088,837,325,587
0,California,Oakland,2882,1478,321,783
0,Oklahoma,Tulsa,965,1258,262,581
0,Ohio,Cleveland,843,1709,473,1188
0,Hawaii,Honolulu,2439,64,12,33
0,Minnesota,Minneapolis,1561,667,149,408
0,Louisiana,Baton Rouge,1306,868,339,471
0,Louisiana,New Orleans,1404,3070,703,1892
0,Texas,Arlington,1447,146,78,88
0,North Carolina,Raleigh,1384,324,79,193
0,Kansas,Wichita,897,791,130,339
0,Florida,Tampa,1302,601,150,302
0,California,Anaheim,2608,69,30,34
0,California,Santa Ana,2473,209,54,142
0,Colorado,Aurora,1779,166,70,81
0,Missouri,Saint Louis,892,2498,916,1782
0,Texas,Corpus Christi,1363,584,79,190
0,Ohio,Cincinnati,1108,1108,254,792
0,Pennsylvania,Pittsburgh,1099,936,243,595
0,California,Riverside,1778,97,28,47
0,Georgia,Marietta,1576,69,33,30
0,Alaska,Anchorage,1900,469,108,190
0,California,Bakersfield,1344,605,153,305
0,Minnesota,Saint Paul,1398,404,68,159
0,Ohio,Toledo,781,804,111,609
0,Maryland,Silver Spring,2157,30,10,19
0,Kentucky,Lexington,1207,851,81,405
0,New Jersey,Newark,1512,737,304,361
0,Florida,Tallahassee,1199,260,67,126
0,California,Stockton,1363,555,150,227
0,Texas,Plano,1951,25,23,11
0,New York,Buffalo,878,954,156,577
0,Arizona,Chandler,1475,38,16,16
0,Kentucky,Louisville,950,1405,396,795
0,Nevada,Henderson,1376,53,30,13
0,California,Modesto,1340,169,50,97
0,Alabama,Mobile,928,560,161,303
0,New Jersey,Jersey City,2087,623,77,314
0,Texas,Lubbock,1176,306,49,161
0,Arizona,Glendale,1248,118,75,61
0,North Carolina,Durham,1300,517,129,390
0,Florida,Orlando,1285,1020,303,633
0,Virginia,Norfolk,1250,622,152,492
0,Florida,Saint Petersburg,1315,129,52,67
0,Florida,Pensacola,955,198,47,83
0,Indiana,Fort Wayne,944,602,144,338
0,North Carolina,Greensboro,989,522,120,311
0,Nebraska,Lincoln,1267,468,27,78
0,California,San Bernardino,1434,281,144,172
0,California,Corona,2155,20,7,4
0,California,Chula Vista,2380,35,14,15
0,Virginia,Chesapeake,1548,137,43,83
0,Florida,Hialeah,1789,56,32,23
0,Wisconsin,Madison,1530,611,32,126
0,Texas,Garland,1425,45,25,20
0,California,Fontana,1848,43,25,17
0,Florida,Fort Myers,1568,387,87,187
0,Tennessee,Knoxville,1017,387,98,241
0,Texas,Laredo,1096,160,25,44
